,title,reviews,stars
171,Mr &Mrs Wesley,From entering the restaurant we had first class  treatment. Everyone was very attentive and the meal was excellent. would certainly recommend. Thank you,5
172,BETTER THAN THE CUBE IN BIRMINGHAM,A lot better experience than pierre white in Brum...the only thing that let the set menu down was a being able to pick a starter...just none for us to go for....and the tea or coffee never came....but we were not disappointed even with the VIP...More,3
173,Not worth the money,"The virgin Experience Days. So firstly the shard denied entry so we had to pay extra to actually visit the shard and then we realised that the misleading title
Of the experience the actual restaurant isn’t in the shard it’s in Liverpool Street . So...More",3
174,Great Food and Great Service,My friend and I really enjoyed our visit to the restaurant. The staff were very nice and welcoming to us and the service was very quick and efficient. We never had to wait long for the food and the food provided was very well presented...More,5
175,Couple visit,The whole visit was amazing! Had the set menu which full of great choices! Chicken liver pate was amazing. Had Steak which was lovely but a little cold. I asked for it rare so I understand it wouldn’t have had long to cook/heat up lol...More,4
176,Really enjoyed our last visit,Really enjoyed our last visit nice evening and the staff were really kind and attentive to every detail,4
177,Amazing Food - Amazing service,Amazing Food - Amazing service  and the best steak - even though i chose the standard Rump Steak all served with amazing croquettes to die for :),5
178,Disgusting,It was my partners birthday so I booked this for a day which was a three course meal. The food was disgusting and we ate nothing. Left feeling hungry and sick. Would have ratherd a Mc Donalds meal.,1
179,Afternoon meal,A lovely meal but felt really rushed in service (3 courses in under an hour)and did not warrant 12.5% pre applied service charge.,4
180,Groups voucher for two with view from The Shard,Friendly staff who were attentive during the meal. Steak was average and not what I expected from a steakhouse I have  had much better from Aldi. Duck starter looked like it had seen better days. Everything else was nice though. Please be mindful if you...More,3
181,Fab experience,Brilliant communication before and for rebooking (as first was cancel due to covid). We received a virgin experience voucher from our son. Service and food was amazing. Cannot fault our meal even on the set menu. Thank you for a lovely time.,5
182,WOW,"Staff all good...... Everything else is  disgusting table cloth n napkin was dirty food was uneatable 
I cannot say anything good about my time in this so called restaurant",1
183,Bought a gift voucher for dinner.,Bought a gift voucher for The London Steakhouse & a great treat. I started with the chicken pate followed by a very nice rump steak. All washed down with a nice bottle of Chenin Blanc. Finished with the pecan tart ( my fave). Great service...More,5
184,Set menu upgraded to VIP,Excellent food and service. Nothing was too much trouble and we mixed and matched our options to maximise our visit,5
185,Amazing food great service,Me and my fiancé went and did a Virgin Experience Days and the food was amazing the service was impeccable. I could not recommend it enough,5
186,Great night out,"We arrived at the steakhouse to a very warm welcome.
The food was amazing and well priced, and our waitress/ hostess was fabulous. 
It’s in a great location in the centre of the city with lots of history around. We went after visiting the top...More",5
187,One of the best steaks,Food and service was amazing x beautiful setting calm and relaxing xx the only shame for us was wine was so expensive,5
188,Amazing experience,"We purchased the lunch and visit to the shard, from Groupon. The food was amazing and the portions were huge. The Staff were so friendly too. This is a brilliant deal. And will definitely be visiting again.",5
189,Overall a good evening,"Booked through the Buy A Gift site which seemed popular as fellow diners appeared to be on a similar deal. The deal included a cocktail to start, we chose a cranberry based cocktail, it was certainly very 'cranberry ', the vodka and Cointreau was certainly...More",4
